0,-23,0.652120
0,23,1.406861
0,-24,0.703407
1,-23,0.652120
1,-25,0.696338
0,26,1.580198
0,-22,0.718540
1,-18,0.753236
0,-26,0.689581
0,-19,0.743968
1,27,1.463874
1,26,1.580198
0,-20,0.675232
0,17,1.310740
1,-27,0.683119
0,10,1.260898
0,19,1.462111
0,14,1.258360
0,15,1.276099
0,16,1.401258
0,31,1.515261
0,21,1.376205
0,-21,0.726636
0,-15,0.724879
0,12,1.222165
0,11,1.285852
0,-18,0.693220
0,9,1.235440
0,-14,0.736856
1,25,1.436084
1,21,1.376205
0,18,1.327604
1,18,1.327604
1,-19,0.743968
0,13,1.334008
1,-20,0.735107
1,14,1.258360
1,19,1.344144
0,8,1.209556
0,6,1.156882
0,-25,0.696338
1,-14,0.794685
1,-16,0.773057
1,-21,0.726636
1,22,1.391711
1,-10,0.843734
0,2,1.035927
1,31,1.515261
1,10,1.185208
1,-2,0.965319
0,1,1.017827
0,-8,0.871254
0,-5,0.884715
0,-2,0.951387
1,-1,0.975330
1,0,1.000000
1,-6,0.900760
1,6,1.110174
1,-7,0.885763
1,5,1.091425
1,3,1.077286
0,3,1.054256
1,1,1.017827
0,-11,0.777694
0,-1,0.975330
0,0,1.000000
1,-3,0.928259
1,2,1.051097
1,9,1.166530
0,-3,0.948536
1,23,1.406861
1,-9,0.857243
1,7,1.128971
1,-5,0.884715
1,8,1.147771
1,-4,0.932166
1,15,1.276099
1,-17,0.703106
0,-7,0.885763
1,-8,0.871254
1,24,1.421652
0,4,1.072771
1,20,1.360347
1,-12,0.763219
0,5,1.091425
0,-4,0.932166
0,-9,0.857243
0,7,1.128971
1,4,1.072771
0,-6,0.900760
0,-10,0.793086
1,17,1.310740
1,-15,0.783638
0,-16,0.713644
0,-17,0.703106
1,11,1.203765
1,12,1.222165
1,16,1.293566
1,13,1.240373
1,-11,0.777694
1,-13,0.806209
0,-13,0.749621
0,-12,0.818220
